name,old_chr,old_strand,old_start,old_end,chr,strand,start,end,symbol,n_probes_on_tiling,all_identifiers,selected_identifier
7896759,chr1,+,781254,783614,chr1,+,781253,783614,LOC643837,196,AK096570,AK096570
7896761,chr1,+,850393,870375,chr1,+,850983,869824,SAMD11,0,"NM_152486, ENST00000342066, BC024295",NM_152486
7896779,chr1,+,885830,890962,chr1,+,885829,890958,KLHL17,20,"NM_198317, ENST00000338591, AY423763",NM_198317
7896798,chr1,+,891740,900351,chr1,+,891739,900345,PLEKHN1,11,"NM_032129, ENST00000379410, BC101387, ENST00000379409",NM_032129
7896817,chr1,+,938666,939783,chr1,+,938709,939782,ISG15,0,"NM_005101, ENST00000379389, M13755",NM_005101
7896822,chr1,+,945366,981359,chr1,+,945365,981355,AGRN,0,"NM_198576, ENST00000379370, AB191264, ENST00000379364",NM_198576
7896859,chr1,+,1092347,1092441,chr1,+,1092346,1092441,---,0,hsa-mir-200b,hsa-mir-200b
7896861,chr1,+,1093106,1093195,chr1,+,1093105,1093195,---,0,hsa-mir-200a,hsa-mir-200a
7896863,chr1,+,1094248,1094330,chr1,+,1094247,1094330,---,0,hsa-mir-429,hsa-mir-429
7896865,chr1,+,1099146,1123178,chr1,+,1104939,1111106,TTLL10,69,"NM_153254, ENST00000400931, ENST00000379289, BC126152",NM_153254
7896878,chr1,+,1157492,1160284,chr1,+,1159893,1160281,B3GALT6,209,"NM_080605, ENST00000379198, BC015549",BC015549
7896882,chr1,+,1205831,1217272,chr1,+,1207438,1217272,SCNN1D,161,"NM_002978, ENST00000338555, ENST00000379099, ENST00000400928, AK127357",NM_002978
7896908,chr1,+,1233810,1236920,chr1,+,1233856,1236920,PUSL1,299,"NM_153339, ENST00000379031, BC034304",NM_153339
7896952,chr1,+,1379712,1459930,chr1,+,1437417,1459927,ATAD3A,42,"NM_018188, ENST00000378755, BC014101, ENST00000378756",NM_018188
7896983,chr1,+,1500220,1500522,chr1,+,1500217,1501236,---,119,AF161351,AF161351
7896985,chr1,+,1540736,1555853,chr1,+,1540746,1555848,MIB2,0,"NM_080875, ENST00000355826, AK302757, ENST00000357210, ENST00000357882, ENST00000378708, ENST00000378712",NM_080875
7897026,chr1,+,1836126,1838595,chr1,+,1836125,1838593,CALML6,184,"NM_138705, ENST00000307786, AY566229, ENST00000378604",NM_138705
7897034,chr1,+,1940640,1952052,chr1,+,1940627,1952052,GABRD,0,"NM_000815, ENST00000378585, BC033801",NM_000815
7897044,chr1,+,1971769,2106694,chr1,+,1971768,2106694,PRKCZ,0,"NM_002744, NM_001033581, NM_001033582, ENST00000378567, ENST00000400921, BC014270",NM_002744
7897066,chr1,+,2110843,2114884,chr1,+,2111123,2112831,LOC100128003,239,"AK093927, BC018779",BC018779
7897068,chr1,+,2149994,2231418,chr1,+,2149993,2231511,SKI,153,"NM_003036, ENST00000378536",NM_003036
7897076,chr1,+,2306671,2309782,chr1,+,2306670,2309808,---,207,AK055432,AK055432
7897078,chr1,+,2313074,2326734,chr1,+,2313188,2325048,RER1,271,"NM_007033, ENST00000306256, AF091071, ENST00000378512, ENST00000378518",AF091071
7897089,chr1,+,2347279,2426829,chr1,+,2400388,2426829,PLCH2,173,"NM_014638, ENST00000378486, ENST00000343889, AK122589",ENST00000343889
7897119,chr1,+,2508097,2512767,chr1,+,2508107,2512766,C1orf93,133,"AF425266, BC022547, AK303504, AK298926, ENST00000378425, AK057027, uc001ajv.1, uc001aju.1, CR749706, uc001ajw.1, uc001ajx.1",AF425266
7897128,chr1,+,2927906,2929327,chr1,+,2927905,2929327,ACTRT2,243,"NM_080431, ENST00000378404, BC029499",NM_080431
7897132,chr1,+,2975604,3345045,chr1,+,2975603,3345045,PRDM16,298,"NM_022114, NM_199454, ENST00000270722, ENST00000378398, ENST00000378391, BC161614, ENST00000378389",NM_022114
7897154,chr1,+,3360850,3387537,chr1,+,3373394,3387537,ARHGEF16,25,"NM_014448, ENST00000378378, BC051838, ENST00000378371",ENST00000378371
7897172,chr1,+,3531416,3536555,chr1,+,3531415,3536554,TPRG1L,129,"NM_182752, ENST00000378344, BC019034, ENST00000344579",NM_182752
7897179,chr1,+,3558944,3642625,chr1,+,3597095,3640327,TP73,274,"NM_001126240, NM_005427, NM_001126241, NM_001126242, ENST00000378295, ENST00000378285, ENST00000378280, ENST00000378288, AY040827, ENST00000354437",NM_001126240
7897196,chr1,+,3658822,3678069,chr1,+,3658824,3678069,CCDC27,178,"NM_152492, ENST00000294600, BC112108",NM_152492
7897210,chr1,+,3763705,3791853,chr1,+,3763896,3791844,DFFB,205,"NM_004402, ENST00000378209, AB028912, ENST00000339350, ENST00000378206",AB028912
7897227,chr1,+,4614652,4743711,chr1,+,4614964,4743711,AJAP1,202,"NM_018836, NM_001042478, ENST00000378191, ENST00000378190, AY282806",NM_018836
7897236,chr1,+,5974113,6083840,chr1,+,5975347,6081221,KCNAB2,102,"NM_003636, NM_172130, ENST00000164247, ENST00000378097, ENST00000378092, AK124696, ENST00000378083, ENST00000378111",ENST00000378092
7897257,chr1,+,6188122,6190959,chr1,+,6188775,6203946,RNF207,177,"NM_207396, ENST00000377939, AK128246",NM_207396
7897263,chr1,+,6191265,6203946,chr1,+,6191506,6203446,RNF207,218,"NM_207396, ENST00000377939, AK056658",AK056658
7897277,chr1,+,6220455,6222091,chr1,+,6220457,6222077,C1orf211,162,BC030279,BC030279
7897280,chr1,+,6226232,6228682,chr1,+,6226848,6228225,HES3,269,"NM_001024598, ENST00000377898",NM_001024598
7897286,chr1,+,6249419,6249879,chr1,+,6249418,6249879,UNQ6193,239,AY358179,AY358179
7897288,chr1,+,6407435,6443591,chr1,+,6407434,6443591,ESPN,231,"NM_031475, ENST00000377828",NM_031475
