name,chr,strand,start,end,symbol,selected_identifier
7896759,chr1,+,781253,783614,LOC643837,AK096570
7896761,chr1,+,850983,869824,SAMD11,NM_152486
7896779,chr1,+,885829,890958,KLHL17,NM_198317
7896798,chr1,+,891739,900345,PLEKHN1,NM_032129
7896817,chr1,+,938709,939782,ISG15,NM_005101
7896822,chr1,+,945365,981355,AGRN,NM_198576
7896859,chr1,+,1092346,1092441,---,hsa-mir-200b
7896861,chr1,+,1093105,1093195,---,hsa-mir-200a
7896863,chr1,+,1094247,1094330,---,hsa-mir-429
7896865,chr1,+,1104939,1111106,TTLL10,NM_153254
7896878,chr1,+,1159893,1160281,B3GALT6,BC015549
7896882,chr1,+,1207438,1217272,SCNN1D,NM_002978
7896908,chr1,+,1233856,1236920,PUSL1,NM_153339
7896952,chr1,+,1437417,1459927,ATAD3A,NM_018188
7896983,chr1,+,1500217,1501236,---,AF161351
7896985,chr1,+,1540746,1555848,MIB2,NM_080875
7897026,chr1,+,1836125,1838593,CALML6,NM_138705
7897034,chr1,+,1940627,1952052,GABRD,NM_000815
7897044,chr1,+,1971768,2106694,PRKCZ,NM_002744
7897066,chr1,+,2111123,2112831,LOC100128003,BC018779
7897068,chr1,+,2149993,2231511,SKI,NM_003036
7897076,chr1,+,2306670,2309808,---,AK055432
7897078,chr1,+,2313188,2325048,RER1,AF091071
7897089,chr1,+,2400388,2426829,PLCH2,ENST00000343889
7897119,chr1,+,2508107,2512766,C1orf93,AF425266
7897128,chr1,+,2927905,2929327,ACTRT2,NM_080431
7897132,chr1,+,2975603,3345045,PRDM16,NM_022114
7897154,chr1,+,3373394,3387537,ARHGEF16,ENST00000378371
7897172,chr1,+,3531415,3536554,TPRG1L,NM_182752
7897179,chr1,+,3597095,3640327,TP73,NM_001126240
7897196,chr1,+,3658824,3678069,CCDC27,NM_152492
7897210,chr1,+,3763896,3791844,DFFB,AB028912
7897227,chr1,+,4614964,4743711,AJAP1,NM_018836
7897236,chr1,+,5975347,6081221,KCNAB2,ENST00000378092
7897257,chr1,+,6188775,6203946,RNF207,NM_207396
7897263,chr1,+,6191506,6203446,RNF207,AK056658
7897277,chr1,+,6220457,6222077,C1orf211,BC030279
7897280,chr1,+,6226848,6228225,HES3,NM_001024598
7897286,chr1,+,6249418,6249879,UNQ6193,AY358179
7897288,chr1,+,6407434,6443591,ESPN,NM_031475
7897293,chr1,+,6523500,6523581,---,ENST00000386632
7897295,chr1,+,6538020,6562404,TAS1R1,NM_138697
7897305,chr1,+,6562697,6571926,ZBTB48,ENST00000377674
7897322,chr1,+,6596342,6606680,PHF13,NM_153812
7897329,chr1,+,6607511,6616208,THAP3,BC092427
7897339,chr1,+,6767970,7752351,CAMTA1,NM_015215
7897368,chr1,+,7202006,7202171,---,ENST00000384328
7897370,chr1,+,7753915,7764079,VAMP3,NM_004781
7897378,chr1,+,7766966,7786605,PER3,ENST00000377541
7897404,chr1,+,7944300,7967929,PARK7,NM_007262
7897416,chr1,+,8306976,8326814,SLC45A1,NM_001080397
7897422,chr1,+,8310713,8310826,---,ENST00000384030
7897424,chr1,+,8876064,8876490,---,ENST00000407736
7897426,chr1,+,8928508,8957735,CA6,NM_001215
7897439,chr1,+,9065341,9065525,---,ENST00000391300
7897441,chr1,+,9217420,9249118,H6PD,BC081559
7897449,chr1,+,9338352,9350221,SPSB1,ENST00000377399
7897469,chr1,+,9571563,9587593,TMEM201,NM_001010866
7897482,chr1,+,9634376,9711759,PIK3CD,NM_005026
7897509,chr1,+,9926072,9968143,NMNAT1,NM_022787
7897520,chr1,+,9929962,9930281,---,ENST00000365545
7897522,chr1,+,9979841,9998664,RBP7,NM_052960
7897527,chr1,+,10015602,10163883,UBE4B,NM_001105562
7897559,chr1,+,10145916,10146019,---,ENST00000364876
7897561,chr1,+,10193350,10364248,KIF1B,NM_015074
7897620,chr1,+,10381671,10402788,PGD,NM_002631
7897632,chr1,+,10432557,10434546,APITD1,NM_001302
7897648,chr1,+,10457589,10613405,PEX14,NM_004565
7897661,chr1,+,10599479,10599759,---,ENST00000386686
7897663,chr1,+,10995265,11008136,TARDBP,NM_007375
7897675,chr1,+,11171984,11178625,ANGPTL7,NM_021146
7897683,chr1,+,11208897,11209004,---,ENST00000384720
7897685,chr1,+,11256171,11277699,UBIAD1,ENST00000376804
